name;link
Xadrez Verbal Podcast #222 – EUA, El Salvador e Europa ;https://xadrezverbal.com/2020/02/15/xadrez-verbal-podcast-222-eua-el-salvador-e-europa/
Xadrez Verbal Podcast #221 – Fim do Brexit e do impeachment de Trump ;https://xadrezverbal.com/2020/02/08/xadrez-verbal-podcast-221-fim-do-brexit-e-do-impeachment-de-trump/
Xadrez Verbal Podcast #220 – Europa, América Latina e paz de Trump ;https://xadrezverbal.com/2020/01/31/xadrez-verbal-podcast-220-europa-america-latina-e-paz-de-trump/
Xadrez Verbal Podcast #219 – Europa, Oriente Médio e Isabel dos Santos ;https://xadrezverbal.com/2020/01/25/xadrez-verbal-podcast-219-europa-oriente-medio-e-isabel-dos-santos/
Xadrez Verbal Podcast #218 – Virada de 2019 para 2020 ;https://xadrezverbal.com/2020/01/18/xadrez-verbal-podcast-218-virada-de-2019-para-2020/
Xadrez Verbal Podcast #217 – Oriente Médio no início de 2020 ;https://xadrezverbal.com/2020/01/10/xadrez-verbal-podcast-217-oriente-medio-no-inicio-de-2020/
Xadrez Verbal Podcast #216 – Argentina, Reino Unido e Bougainville ;https://xadrezverbal.com/2019/12/14/xadrez-verbal-podcast-216-argentina-reino-unido-e-bougainville/
Xadrez Verbal Podcast #215 – Coreia, América Latina e OTAN ;https://xadrezverbal.com/2019/12/07/xadrez-verbal-podcast-215-coreia-america-latina-e-otan/
Xadrez Verbal Podcast #214 – EUA, Hong Kong e Uruguai ;https://xadrezverbal.com/2019/11/30/xadrez-verbal-podcast-214-eua-hong-kong-e-uruguai/
Xadrez Verbal Podcast #213 – Israel, EUA e América Latina ;https://xadrezverbal.com/2019/11/23/xadrez-verbal-podcast-213-israel-eua-e-america-latina/
Xadrez Verbal Podcast #212 – Espanha, BRICS e Bolívia ;https://xadrezverbal.com/2019/11/15/xadrez-verbal-podcast-212-espanha-brics-e-bolivia/
Xadrez Verbal Podcast #211 – Um giro de notícias pelo mundo ;https://xadrezverbal.com/2019/11/09/xadrez-verbal-podcast-211-um-giro-de-noticias-pelo-mundo/
Xadrez Verbal Podcast #210 – Argentina, Brasil e Oriente Médio ;https://xadrezverbal.com/2019/11/01/xadrez-verbal-podcast-210-argentina-brasil-e-oriente-medio/
Xadrez Verbal Podcast #209 – Europa e protestos pelo mundo ;https://xadrezverbal.com/2019/10/26/xadrez-verbal-podcast-209-europa-e-protestos-pelo-mundo/
Xadrez Verbal Podcast #208 – Síria, Europa e América Latina ;https://xadrezverbal.com/2019/10/18/xadrez-verbal-podcast-208-siria-europa-e-america-latina/
Xadrez Verbal Podcast #207 – Florencia Guarche, Equador e EUA-China ;https://xadrezverbal.com/2019/10/12/xadrez-verbal-podcast-207-florencia-guarche-equador-e-eua-china/
Xadrez Verbal Podcast #206 – Assembleia Geral da ONU, Peru e Equador ;https://xadrezverbal.com/2019/10/05/xadrez-verbal-podcast-206-assembleia-geral-da-onu-peru-e-equador/
Xadrez Verbal Podcast #205 – Bolsonaro na ONU, impeachment e Forte 2019 ;https://xadrezverbal.com/2019/09/27/xadrez-verbal-podcast-205-bolsonaro-na-onu-impeachment-e-forte-2019/
Xadrez Verbal Podcast #204 – John Bolton, Brexit e Venezuela ;https://xadrezverbal.com/2019/09/14/xadrez-verbal-podcast-204-john-bolton-brexit-e-venezuela/
Xadrez Verbal Podcast #203 – Europa, Brexit e Oriente Médio ;https://xadrezverbal.com/2019/09/07/xadrez-verbal-podcast-203-europa-brexit-e-oriente-medio/
Xadrez Verbal Podcast #202 – Brexit, Amazônia e Argentina ;https://xadrezverbal.com/2019/08/31/xadrez-verbal-podcast-202-brexit-amazonia-e-argentina/
Xadrez Verbal Podcast #201 – Amazônia, América Latina e Europa ;https://xadrezverbal.com/2019/08/24/xadrez-verbal-podcast-201-amazonia-america-latina-e-europa/
Xadrez Verbal Podcast #200 – Argentina, Coreia e Europa ;https://xadrezverbal.com/2019/08/17/xadrez-verbal-podcast-200-argentina-coreia-e-europa/
Xadrez Verbal Podcast #199 – Caxemira, Itaipu e EUA – Pacífico ;https://xadrezverbal.com/2019/08/10/xadrez-verbal-podcast-199-caxemira-itaipu-e-eua-pacifico/
Xadrez Verbal Podcast #198 – Paraguai, Brexit e EUA-China ;https://xadrezverbal.com/2019/08/03/xadrez-verbal-podcast-198-paraguai-brexit-e-eua-china/
Xadrez Verbal Podcast #197 – Porto Rico, Ásia e Europa ;https://xadrezverbal.com/2019/07/27/xadrez-verbal-podcast-197-porto-rico-asia-e-europa/
Xadrez Verbal Podcast #196 – Oriente Médio, Ásia e MERCOSUL ;https://xadrezverbal.com/2019/07/20/xadrez-verbal-podcast-196-oriente-medio-asia-e-mercosul/
Xadrez Verbal Podcast #195 – Radiação submarina, Grécia e Brasil ;https://xadrezverbal.com/2019/07/13/xadrez-verbal-podcast-195-radiacao-submarina-grecia-e-brasil/
Xadrez Verbal Podcast #194 – Europa, G-20, Coreia e acordo no Sudão ;https://xadrezverbal.com/2019/07/06/xadrez-verbal-podcast-194-europa-g-20-coreia-e-acordo-no-sudao/
Xadrez Verbal Podcast #193 – G20 2019, Europa e América Latina ;https://xadrezverbal.com/2019/06/29/xadrez-verbal-podcast-193-g20-2019-europa-e-america-latina/
Xadrez Verbal Podcast #192 – Drone no Irã, Europa e América Latina ;https://xadrezverbal.com/2019/06/22/xadrez-verbal-podcast-192-drone-no-ira-europa-e-america-latina/
Xadrez Verbal Podcast #191 – Hong Kong, Europa e América Latina ;https://xadrezverbal.com/2019/06/14/xadrez-verbal-podcast-191-hong-kong-europa-e-america-latina/
Xadrez Verbal Podcast #190 – Peso Real, Europa e relações árabes ;https://xadrezverbal.com/2019/06/08/xadrez-verbal-podcast-190-peso-real-europa-e-relacoes-arabes/
Xadrez Verbal Podcast #189 – Eleições europeias ;https://xadrezverbal.com/2019/05/31/xadrez-verbal-podcast-189-eleicoes-europeias/
